L1=0,L2=0,N=464
0X1.C23E68BF0E27EP-5	-0X1.3E55B1FCA1B82P-9	-0X1.EAE531F3CD6F4P-9	0X1.9C54EB46559AP-11	
0X1.1B1DFBA3170C2P-5	-0X1.0CDCE31E72FC2P-11	0X1.601A75DD98DEP-9	-0X1.AF1EB8E1B673EP-13	
0X1.1B1DFBA3170C2P-5	-0X1.0CDCE31E72FC2P-11	0X1.601A75DD98DEP-9	-0X1.AF1EB8E1B673EP-13	
0X1.1B1DF8AE69064P-5	-0X1.8BE9EAFF13F8P-10	-0X1.2566373F4EA7DP-9	0X1.F6AB2F6D45B84P-12	
0X1.1B1DF8AE69064P-5	-0X1.8BE9EAFF13F8P-10	-0X1.2566373F4EA7DP-9	0X1.F6AB2F6D45B84P-12	
0X1.0B7C940344BF1P-5	-0X1.FC82D2C1F0C86P-12	0X1.4C6EBCA3B3FCDP-9	-0X1.96C59DE01C816P-13	
0X1.0B7C940344BF2P-5	-0X1.FC82D2C1F0C8EP-12	0X1.4C6EBCA3B3FCEP-9	-0X1.96C59DE01C819P-13	
0X1.0B7C913786A31P-5	-0X1.75FBF7C764ABCP-10	-0X1.14F6DDFFC7C39P-9	0X1.DAAB405C71543P-12	
0X1.0B7C913786A3P-5	-0X1.75FBF7C764ABAP-10	-0X1.14F6DDFFC7C38P-9	0X1.DAAB405C71542P-12	
0X1.EF1A2227E2FFEP-6	0X1.C4CCC220CAE3EP-9	-0X1.90F44702E5AP-11	-0X1.EA4260670D002P-12	
0X1.EF1A2227E2FFEP-6	0X1.C4CCC220CAE3EP-9	-0X1.90F44702E5AP-11	-0X1.EA4260670D002P-12	
0X1.F1CB7A6ADDA1P-6	0X1.C7A321697677P-9	-0X1.93777A00AAF1BP-11	-0X1.ED54D7529FA84P-12	
0X1.F1CB7A6ADDA1P-6	0X1.C7A321697677P-9	-0X1.93777A00AAF1BP-11	-0X1.ED54D7529FA84P-12	
0X1.4354778CE0444P-3	-0X1.D8766DEB0401EP-10	0X1.E7AE35C57694AP-7	-0X1.55E248894947DP-10	
